question_id,block,degree,weighted_degree_abs_strength,signed_strength,degree_centrality
E01,E,59,6.29869860964559,-1.180998622716913,1.0
E02,E,59,6.840986757320651,-1.085280222351292,1.0
E03,E,59,5.715368303979261,-1.2149939683597661,1.0
E04,E,59,5.783768821432017,-0.47860392093203313,1.0
E05,E,59,6.8789402598246205,-1.1198555347163792,1.0
E06,E,59,6.196652938649813,-0.7996280004462049,1.0
E07,E,59,6.541802911202173,-0.4825054721165711,1.0
E08,E,59,6.430720436855724,-0.2741358632034503,1.0
E09,E,59,7.3757230968222425,-2.146019230874417,1.0
E10,E,59,7.437658873826501,0.938329148444354,1.0
E11,E,59,7.235862751111936,1.8744546463508194,1.0
E12,E,59,6.182804615570868,-2.0247678543984193,1.0
E13,E,59,6.23647823381258,-2.298442564649057,1.0
E14,E,59,6.307865493502921,-0.280327521128927,1.0
E15,E,59,6.548635639400446,1.3257188836380682,1.0
S01,S,59,5.02653093433703,0.4683166528876928,1.0
S02,S,59,7.748179501057005,-2.9482447187125578,1.0
S03,S,59,6.231386344961439,-1.2288046907111208,1.0
S04,S,59,5.962282667000329,-1.3621348467829686,1.0
S05,S,59,6.851521009475283,1.6234725952928,1.0
S06,S,59,6.513882884711547,-0.12987009084990228,1.0
S07,S,59,7.119466789336993,1.1526965601728185,1.0
S08,S,59,6.291148863832322,-1.6162293136969756,1.0
S09,S,59,6.06724819657292,-0.3630827475685708,1.0
S10,S,59,4.920000669544963,-0.06448380614529878,1.0
S11,S,59,6.761523861696419,1.6515079259570615,1.0
S12,S,59,5.515417374208275,-1.6227073496518383,1.0
S13,S,59,6.233826441898075,-0.5673904063284542,1.0
S14,S,59,6.3807455070624055,0.6506107815557849,1.0
S15,S,59,5.775529467266424,-0.8577155271199203,1.0
T01,T,59,6.914176487329213,-1.303945056063206,1.0
T02,T,59,6.388736757307734,-1.3468736483165658,1.0
T03,T,59,5.956726117852994,-0.30723720621794964,1.0
T04,T,59,6.506756393991789,-1.348898737734234,1.0
T05,T,59,6.1286101567457285,0.5209165357311445,1.0
T06,T,59,6.382710310211062,0.46245499673251506,1.0
T07,T,59,5.493525355181055,-0.5331417575868376,1.0
T08,T,59,7.4253482676052345,-2.581671608785039,1.0
T09,T,59,6.5065376298326605,-1.8157209241029222,1.0
T10,T,59,5.871013987103995,-0.5813842393577645,1.0
T11,T,59,6.507222525882629,-0.4726602061485436,1.0
T12,T,59,7.308663857099304,-0.0817544906449959,1.0
T13,T,59,6.348183153271699,-0.27094029959695937,1.0
T14,T,59,6.740610431581847,-0.04891942770230782,1.0
T15,T,59,5.685515177921372,0.2500811292692882,1.0
V01,V,59,6.985772510402531,0.7266920879461969,1.0
V02,V,59,6.319348725290638,0.8720030711576928,1.0
V03,V,59,6.213128765007341,-0.5368124749319295,1.0
V04,V,59,6.653645950588727,1.5872387114547728,1.0
V05,V,59,7.568210306183681,1.0806456702063016,1.0
V06,V,59,7.442437043157892,1.6680004348694752,1.0
V07,V,59,8.259356188469924,0.6094392990618661,1.0
V08,V,59,6.528455290696274,0.2224851018314608,1.0
V09,V,59,7.203156384104853,1.7455195835506478,1.0
V10,V,59,7.182652904998183,-1.2993809741682552,1.0
V11,V,59,5.668747712677805,-0.35721908715210743,1.0
V12,V,59,6.528852313805605,-0.5672520862838408,1.0
V13,V,59,7.397764082228318,2.317882583604693,1.0
V14,V,59,7.663521323847164,1.2620452631269028,1.0
V15,V,59,5.90905474444304,1.241632200457396,1.0
